2019-06-20T11:40:07	T0200b	SUPER_HIGH_FREQUENCY	-	-	2019-06-20T11:40:27	2019-06-20T11:41:17	C	QuakeML
2019-06-20T11:48:58	T0200c	SUPER_HIGH_FREQUENCY	-	-	2019-06-20T11:49:18	2019-06-20T11:50:08	D	QuakeML
2019-06-20T14:56:41	S0200a	2.4_HZ	-	-	2019-06-20T15:02:30	2019-06-20T15:14:11	C	QuakeML
2019-06-21T12:05:21	T0201a	SUPER_HIGH_FREQUENCY	-	-	2019-06-21T12:05:41	2019-06-21T12:06:31	C	QuakeML
2019-06-21T12:29:34	T0201b	SUPER_HIGH_FREQUENCY	-	-	2019-06-21T12:29:54	2019-06-21T12:30:44	D	QuakeML
2019-06-21T12:52:03	S0201a	LOW_FREQUENCY	-	-	2019-06-21T12:52:49	2019-06-21T13:00:23	D	QuakeML
2019-06-21T15:12:18	S0201b	2.4_HZ	-	-	2019-06-21T15:13:05	2019-06-21T15:24:11	C	QuakeML
2019-06-22T01:17:09	S0202a	2.4_HZ	-	-	2019-06-22T01:17:10	2019-06-22T01:28:24	D	QuakeML
2019-06-22T12:40:35	T0202a	SUPER_HIGH_FREQUENCY	-	-	2019-06-22T12:40:55	2019-06-22T12:41:45	C	QuakeML
2019-06-22T13:09:55	T0202b	SUPER_HIGH_FREQUENCY	-	-	2019-06-22T13:10:15	2019-06-22T13:11:05	D	QuakeML
2019-06-22T14:00:03	S0202b	VERY_HIGH_FREQUENCY	-	-	2019-06-22T14:01:40	2019-06-22T14:14:01	C	QuakeML
2019-06-22T15:46:19	S0202c	HIGH_FREQUENCY	-	-	2019-06-22T15:50:25	2019-06-22T16:07:28	C	QuakeML
2019-06-23T13:07:02	T0203a	SUPER_HIGH_FREQUENCY	-	-	2019-06-23T13:07:22	2019-06-23T13:08:12	C	QuakeML
2019-06-23T13:49:44	T0203b	SUPER_HIGH_FREQUENCY	-	-	2019-06-23T13:50:04	2019-06-23T13:50:54	D	QuakeML
2019-06-23T15:00:00	S0203a	2.4_HZ	-	-	2019-06-23T15:46:10	2019-06-23T15:58:06	D	QuakeML
2019-06-23T17:11:40	S0203b	2.4_HZ	-	-	2019-06-23T17:17:37	2019-06-23T17:31:02	C	QuakeML
2019-06-23T23:30:56	S0204a	2.4_HZ	-	-	2019-06-23T23:57:05	2019-06-24T00:10:25	D	QuakeML
2019-06-24T14:37:49	T0204a	SUPER_HIGH_FREQUENCY	-	-	2019-06-24T14:38:09	2019-06-24T14:38:59	D	QuakeML
2019-06-25T14:50:23	T0205a	SUPER_HIGH_FREQUENCY	-	-	2019-06-25T14:50:43	2019-06-25T14:51:33	C	QuakeML
2019-06-25T15:18:53	T0205b	SUPER_HIGH_FREQUENCY	-	-	2019-06-25T15:19:13	2019-06-25T15:20:03	D	QuakeML
2019-06-25T17:08:11	S0205a	BROADBAND	-	-	2019-06-25T17:09:30	2019-06-25T17:21:27	C	QuakeML
2019-06-26T15:33:49	T0206a	SUPER_HIGH_FREQUENCY	-	-	2019-06-26T15:34:09	2019-06-26T15:34:59	C	QuakeML
2019-06-26T15:55:04	T0206b	SUPER_HIGH_FREQUENCY	-	-	2019-06-26T15:55:24	2019-06-26T15:56:14	D	QuakeML
2019-06-27T15:39:09	T0207a	SUPER_HIGH_FREQUENCY	-	-	2019-06-27T15:39:29	2019-06-27T15:40:19	C	QuakeML
2019-06-27T16:35:00	T0207b	SUPER_HIGH_FREQUENCY	-	-	2019-06-27T16:35:20	2019-06-27T16:36:10	D	QuakeML
2019-06-28T15:56:17	T0208a	SUPER_HIGH_FREQUENCY	-	-	2019-06-28T15:56:37	2019-06-28T15:57:27	C	QuakeML
2019-06-28T17:21:37	T0208b	SUPER_HIGH_FREQUENCY	-	-	2019-06-28T17:21:57	2019-06-28T17:22:47	D	QuakeML
2019-06-29T16:17:08	T0209a	SUPER_HIGH_FREQUENCY	-	-	2019-06-29T16:17:28	2019-06-29T16:18:18	C	QuakeML
